prospect_id,score,tier,probability,confidence,recommended_action,predicted_at,model_mode,lead_source,country,city,specialization
2a369e35-ca95-4ca9-9e4f-9d27175aa320,5.94,Frozen,0.0594,0.0594,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.248825+00:00,ml,Organic Search,India,Other Metro Cities,Travel and Tourism
9bc8ce93-6144-49e0-9f9d-080fc980f83c,4.6,Frozen,0.046,0.046,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.254326+00:00,ml,Direct Traffic,India,Thane & Outskirts,Human Resource Management
8bf76a52-2478-476b-8618-1688e07874ad,6.1,Frozen,0.061,0.061,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.259350+00:00,ml,Organic Search,India,Select,Marketing Management
88867067-3750-4753-8d33-1c7d1db53b5e,1.59,Frozen,0.0159,0.0159,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.263916+00:00,ml,Organic Search,India,Thane & Outskirts,Business Administration
a8531c22-fcf1-48f8-a711-fb5abf98ad87,4.65,Frozen,0.0465,0.0465,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.268829+00:00,ml,Direct Traffic,Russia,Select,Business Administration
25f4ac14-ff4b-4cd2-9c61-b44c85e19c8f,2.61,Frozen,0.0261,0.0261,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.273266+00:00,ml,Organic Search,India,Select,Select
3abb7c77-1634-4083-9a9f-861068220611,0.08,Frozen,0.0008,0.0008,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.277739+00:00,ml,Olark Chat,India,nan,nan
e5c3beca-a0b6-4b3f-8c01-0919fb9ca3f2,1.58,Frozen,0.0158,0.0158,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.282390+00:00,ml,Referral Sites,India,Select,Select
82cb5fb0-2d97-4a39-a630-ab5fe2e7f18c,6.84,Frozen,0.0684,0.0684,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.286841+00:00,ml,Google,India,Mumbai,Marketing Management
4512c16a-e96a-4459-b9ec-c7d8fe8c4880,1.43,Frozen,0.0143,0.0143,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.291247+00:00,ml,Organic Search,India,Select,Select
c4419c99-b002-408b-a6fd-fa100716592c,0.67,Frozen,0.0067,0.0067,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.295697+00:00,ml,Google,India,Mumbai,Media and Advertising
fd71ab5b-53b8-4105-9960-efedc44962fa,3.43,Frozen,0.0343,0.0343,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.300132+00:00,ml,Google,India,Select,Select
8fd38b83-5c32-4277-bcfb-499f34a01c56,4.3,Frozen,0.043,0.043,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.304321+00:00,ml,Google,India,Mumbai,"Banking, Investment And Insurance"
ecbc6e69-29a9-44bf-804a-13079ef301bc,2.93,Frozen,0.0293,0.0293,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.308806+00:00,ml,Google,India,Mumbai,Finance Management
ecd117ca-375f-49ea-afd6-b52b84d00c69,63.25,Warm,0.6325,0.6325,Follow up within 48 hours — strong engagement signals.,2026-07-19T08:08:24.313267+00:00,ml,Google,India,Mumbai,Marketing Management
31c326f0-4a9b-43a6-9006-99d3830fbcae,3.66,Frozen,0.0366,0.0366,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.317851+00:00,ml,Google,India,Mumbai,Travel and Tourism
c494aca4-8c8e-4081-9784-41eb6346015e,2.21,Frozen,0.0221,0.0221,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.322244+00:00,ml,Organic Search,India,Other Cities,Finance Management
6d143c0e-abae-425f-a2c0-52c2946cbd45,74.05,Warm,0.7405,0.7405,Follow up within 48 hours — strong engagement signals.,2026-07-19T08:08:24.326840+00:00,ml,Google,India,Mumbai,Media and Advertising
8247051c-f838-4a41-b39c-1f0b44c3d5e6,0.98,Frozen,0.0098,0.0098,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.331415+00:00,ml,Direct Traffic,India,Mumbai,Select
b3455e2e-8236-478a-b1aa-666ad3381722,31.63,Cold,0.3163,0.3163,Add to nurture campaign — monitor for re-engagement.,2026-07-19T08:08:24.335987+00:00,ml,Google,India,Mumbai,International Business
da8c5ce5-52b5-4a4e-bf75-e533d2aca52c,5.83,Frozen,0.0583,0.0583,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.340738+00:00,ml,Direct Traffic,India,Mumbai,Human Resource Management
d2055a36-b268-43a0-beeb-9a715f6a660d,0.51,Frozen,0.0051,0.0051,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.345024+00:00,ml,Google,India,Select,Select
c7d82991-3477-40ca-a616-db2d09228a55,1.78,Frozen,0.0178,0.0178,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.349171+00:00,ml,Referral Sites,India,Select,Select
5af0914a-fa65-48e1-b11e-b44849206dc3,0.42,Frozen,0.0042,0.0042,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.353530+00:00,ml,Organic Search,India,nan,nan
bc19e116-132c-4e00-a3fa-caa1ddda2f4e,1.92,Frozen,0.0192,0.0192,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.357944+00:00,ml,Organic Search,India,Mumbai,E-COMMERCE
30422ea1-36fe-465e-9e68-41ee190fefb3,16.59,Frozen,0.1659,0.1659,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.362238+00:00,ml,Referral Sites,India,Thane & Outskirts,Human Resource Management
a8ecfc52-9988-498a-9a21-df747891b847,2.53,Frozen,0.0253,0.0253,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.366654+00:00,ml,Google,India,Mumbai,Operations Management
e60a54bc-0816-430e-a99a-019a8b5a27e5,1.77,Frozen,0.0177,0.0177,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.370826+00:00,ml,Google,India,Mumbai,Finance Management
e50b7515-b5a5-4691-a450-5e28ba99b472,2.47,Frozen,0.0247,0.0247,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.375205+00:00,ml,Google,India,Select,Select
d6686032-c65e-4495-a0f4-ba7471209356,27.4,Cold,0.274,0.274,Add to nurture campaign — monitor for re-engagement.,2026-07-19T08:08:24.379477+00:00,ml,Google,India,Other Cities of Maharashtra,Operations Management
daebea93-20bd-48be-b89b-85c7711ca0d7,2.64,Frozen,0.0264,0.0264,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.383851+00:00,ml,Direct Traffic,India,Select,Select
3ec75559-60f8-46f0-9198-bd3d05c464aa,0.75,Frozen,0.0075,0.0075,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.388063+00:00,ml,Organic Search,India,Mumbai,Retail Management
d262e52a-b8e1-4164-b869-bb199ddf75a9,1.15,Frozen,0.0115,0.0115,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.392518+00:00,ml,Google,India,Select,Select
abc432ac-7393-4312-b49f-c43702397416,0.87,Frozen,0.0087,0.0087,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.396717+00:00,ml,Google,India,Mumbai,Finance Management
85195b85-b384-4745-8e50-719566f70f52,0.87,Frozen,0.0087,0.0087,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.401156+00:00,ml,Direct Traffic,India,Mumbai,Operations Management
fd31b6df-f961-43ba-8e81-618ce5aabfe5,1.35,Frozen,0.0135,0.0135,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.405467+00:00,ml,Google,India,Mumbai,Marketing Management
18633077-5162-4cc6-8728-bc25f7a32fd1,44.8,Cold,0.448,0.448,Add to nurture campaign — monitor for re-engagement.,2026-07-19T08:08:24.409885+00:00,ml,Direct Traffic,India,Mumbai,Finance Management
3f04fd93-2884-45f6-a4fc-f3b6f234554b,0.08,Frozen,0.0008,0.0008,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.413973+00:00,ml,Olark Chat,India,nan,nan
86681269-67b1-4909-90c0-216136535815,1.78,Frozen,0.0178,0.0178,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.418312+00:00,ml,Google,India,Thane & Outskirts,Supply Chain Management
319325b3-50b3-45d0-b730-c9df0b30b9ea,0.08,Frozen,0.0008,0.0008,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.422681+00:00,ml,Olark Chat,India,nan,nan
2def8175-7a88-405a-a932-669cacf60230,0.33,Frozen,0.0033,0.0033,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.427134+00:00,ml,Olark Chat,India,Thane & Outskirts,Select
1f13cede-ebf7-4e65-84ee-7d76e86a9094,0.66,Frozen,0.0066,0.0066,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.431433+00:00,ml,Google,India,Mumbai,Business Administration
8597dacd-0b33-4b4f-ad9e-a9df020afd48,1.12,Frozen,0.0112,0.0112,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.436146+00:00,ml,Organic Search,India,Mumbai,E-COMMERCE
833153b1-e44b-4260-a4cc-5ef310cc548c,4.67,Frozen,0.0467,0.0467,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.440666+00:00,ml,Google,India,nan,nan
b9984279-2d76-41e0-a5f3-e14d6ff68f20,0.45,Frozen,0.0045,0.0045,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.444917+00:00,ml,Organic Search,India,nan,nan
165a8ed0-7155-4b32-bb21-b356c51e0412,2.28,Frozen,0.0228,0.0228,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.449503+00:00,ml,Organic Search,India,Select,Select
59e722da-edff-43d9-af61-f5c8bcc986c4,3.37,Frozen,0.0337,0.0337,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.453834+00:00,ml,Referral Sites,India,Other Metro Cities,IT Projects Management
171defdc-6c7b-4486-9a3b-527de447d2d5,68.95,Warm,0.6895,0.6895,Follow up within 48 hours — strong engagement signals.,2026-07-19T08:08:24.458215+00:00,ml,Referral Sites,India,Other Cities of Maharashtra,Finance Management
d93bfdc0-4719-4f0a-ad6b-31070823dfbb,2.24,Frozen,0.0224,0.0224,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.462622+00:00,ml,Organic Search,India,Mumbai,Human Resource Management
d22bfe40-a444-4e97-b6b7-ccf40117710b,0.89,Frozen,0.0089,0.0089,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.467073+00:00,ml,Referral Sites,India,Thane & Outskirts,Services Excellence
b90b70b9-5e60-41a5-87da-5eb753fc3391,0.43,Frozen,0.0043,0.0043,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.471240+00:00,ml,Google,India,Mumbai,International Business
aa613715-ff22-429d-9fbb-92da56b827aa,0.22,Frozen,0.0022,0.0022,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.475628+00:00,ml,Olark Chat,India,Select,Select
0327a12a-51cb-4782-a029-cc824e614833,77.88,Warm,0.7788,0.7788,Follow up within 48 hours — strong engagement signals.,2026-07-19T08:08:24.480051+00:00,ml,Organic Search,India,Mumbai,Marketing Management
dba70a60-f322-4372-b7d5-3d24026a4750,0.24,Frozen,0.0024,0.0024,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.484889+00:00,ml,Olark Chat,India,nan,nan
3ee81e25-e280-428d-94a8-af0178917bf5,2.53,Frozen,0.0253,0.0253,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.490162+00:00,ml,Direct Traffic,India,Other Cities,Operations Management
a66b2a39-2f12-4eb4-b6e3-065d88ccf980,1.73,Frozen,0.0173,0.0173,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.496158+00:00,ml,Google,India,Other Cities of Maharashtra,Hospitality Management
ee859f2e-a35f-4d2e-980e-8163da8ca667,73.61,Warm,0.7361,0.7361,Follow up within 48 hours — strong engagement signals.,2026-07-19T08:08:24.540378+00:00,ml,Google,India,Mumbai,Operations Management
34571884-9e2f-404c-bc30-d5e09309b06a,0.33,Frozen,0.0033,0.0033,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.572574+00:00,ml,Olark Chat,India,Other Cities of Maharashtra,Select
002233e4-c3d5-4a78-b64e-fa9b7fdef393,0.14,Frozen,0.0014,0.0014,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.579200+00:00,ml,Olark Chat,India,Select,Finance Management
991c2560-128d-4222-a4c6-5aa393c4fafa,0.24,Frozen,0.0024,0.0024,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.584297+00:00,ml,Olark Chat,India,Select,Select
671f2615-8210-4792-abdd-a1588060cd27,4.02,Frozen,0.0402,0.0402,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.588928+00:00,ml,Direct Traffic,India,Thane & Outskirts,Retail Management
ac430bc0-d235-4f54-9c2b-3d1b7e52849e,0.63,Frozen,0.0063,0.0063,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.593771+00:00,ml,Direct Traffic,India,Mumbai,Business Administration
fe6dff62-8217-428b-876a-ec931f251f63,0.42,Frozen,0.0042,0.0042,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.598435+00:00,ml,Referral Sites,India,Other Metro Cities,International Business
f8497fef-9593-4bb7-898c-9f736a3b67f8,1.25,Frozen,0.0125,0.0125,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.603003+00:00,ml,Organic Search,India,Select,Select
2cd9ea36-23d7-49c3-b255-a9361a4fa81b,0.88,Frozen,0.0088,0.0088,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.607703+00:00,ml,Direct Traffic,India,Other Cities of Maharashtra,Operations Management
0a943ad9-f3d5-46d7-aca0-3fdab53da0e7,2.15,Frozen,0.0215,0.0215,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.612253+00:00,ml,Direct Traffic,India,Other Cities of Maharashtra,Marketing Management
a739f33a-7d4d-4c4e-9c9c-3c30e1f48940,2.61,Frozen,0.0261,0.0261,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.617193+00:00,ml,Google,India,Mumbai,"Banking, Investment And Insurance"
1f9032cd-77f4-453c-b84b-edd1aea26b70,0.5,Frozen,0.005,0.005,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.624701+00:00,ml,Referral Sites,India,Mumbai,Operations Management
d4d4ee0a-fea2-4680-b2ea-b24de9fcf0be,1.95,Frozen,0.0195,0.0195,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.629163+00:00,ml,Google,India,Select,Select
a9b219c8-a9c2-4d13-9a4d-46cfe4f70eeb,0.26,Frozen,0.0026,0.0026,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.633964+00:00,ml,Olark Chat,India,Select,Operations Management
09526992-b1fb-4763-8cca-355bc5dac5e3,0.08,Frozen,0.0008,0.0008,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.638223+00:00,ml,Olark Chat,India,nan,nan
ecbf9b02-90a1-4b16-b330-6d958dcfcdb2,5.68,Frozen,0.0568,0.0568,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.643670+00:00,ml,Google,India,Mumbai,IT Projects Management
0ab2ba94-a0f8-4f6b-adb9-6dd94d301b6e,1.4,Frozen,0.014,0.014,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.648576+00:00,ml,Referral Sites,India,Select,Select
523131a0-5e9d-4f8e-9ca7-ea9e964e5788,0.99,Frozen,0.0099,0.0099,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.653045+00:00,ml,Referral Sites,India,Select,Select
0fc49a08-63d2-4fef-98c1-244bfd6d12a9,2.47,Frozen,0.0247,0.0247,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.657794+00:00,ml,Direct Traffic,Kuwait,Mumbai,Supply Chain Management
db6bd360-ffc9-453d-b109-b4f0cfa6749c,1.57,Frozen,0.0157,0.0157,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.662661+00:00,ml,Organic Search,India,Other Cities of Maharashtra,Rural and Agribusiness
3f42389c-2201-4890-ae77-4958ae8982ad,1.92,Frozen,0.0192,0.0192,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.667200+00:00,ml,Organic Search,India,Select,Select
e126d601-facc-4e75-b0fa-eea89ecfdea9,4.47,Frozen,0.0447,0.0447,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.671700+00:00,ml,Olark Chat,India,Other Cities,Business Administration
72064169-4b55-4279-a9b9-340872379f12,2.27,Frozen,0.0227,0.0227,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.676232+00:00,ml,Google,India,Mumbai,Finance Management
40e72a2f-b7bb-4a10-9c2c-45d9bedb0dde,2.23,Frozen,0.0223,0.0223,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.680712+00:00,ml,Google,India,Mumbai,Healthcare Management
076801dc-eba3-4c64-b165-dda70397aa19,0.47,Frozen,0.0047,0.0047,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.685255+00:00,ml,Direct Traffic,India,Mumbai,Finance Management
62b4ee1c-1071-42bb-b50d-16412c2acce2,0.67,Frozen,0.0067,0.0067,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.689753+00:00,ml,Direct Traffic,India,Select,Marketing Management
7f0c404f-3b2d-4d0e-b5e6-cc5bb0bab65d,0.63,Frozen,0.0063,0.0063,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.694106+00:00,ml,Google,India,Mumbai,Healthcare Management
477c8243-bd09-48f5-a170-a5aa9001ab12,0.24,Frozen,0.0024,0.0024,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.698809+00:00,ml,Olark Chat,India,Select,Select
bc35eede-4208-461c-827e-11108a378df7,4.89,Frozen,0.0489,0.0489,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.703451+00:00,ml,Google,India,Select,Human Resource Management
35d515d8-e851-4629-803e-492c6b576bd6,75.37,Warm,0.7537,0.7537,Follow up within 48 hours — strong engagement signals.,2026-07-19T08:08:24.708027+00:00,ml,Direct Traffic,India,Mumbai,Finance Management
a3f6393c-fcdf-4cb4-8d29-6da3d62ae88f,2.0,Frozen,0.02,0.02,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.712437+00:00,ml,Referral Sites,India,Select,Select
5838c43b-1dad-45ec-b46a-02db261d44b6,0.31,Frozen,0.0031,0.0031,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.716945+00:00,ml,Olark Chat,India,Select,Select
d103d8be-52e8-41aa-850a-6651f10641c6,1.74,Frozen,0.0174,0.0174,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.721513+00:00,ml,Google,India,Mumbai,Finance Management
95f1c454-9f9a-40ef-b521-6fc791f103fb,2.75,Frozen,0.0275,0.0275,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.725936+00:00,ml,Direct Traffic,Oman,Mumbai,Healthcare Management
e8950460-899c-434f-9a69-3b01e3e4b94c,4.95,Frozen,0.0495,0.0495,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.730115+00:00,ml,Google,India,Select,Select
cf98ed96-ea4f-49cd-985e-028b7916a564,3.78,Frozen,0.0378,0.0378,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.734647+00:00,ml,Organic Search,India,Other Cities,Supply Chain Management
1c4f389a-53d9-4c8a-b4f7-7954b4053ebd,1.82,Frozen,0.0182,0.0182,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.738979+00:00,ml,Google,India,nan,nan
1cf3a8ad-24b9-4420-a87e-8fd1640174b6,1.92,Frozen,0.0192,0.0192,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.743400+00:00,ml,Google,India,Select,Select
d5aa5934-4930-464e-8c9d-f7b2ea2cd3a3,3.71,Frozen,0.0371,0.0371,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.748121+00:00,ml,Google,India,Mumbai,E-COMMERCE
1b4da2e7-9a43-4f75-b5ad-ff0ec1edbf17,0.91,Frozen,0.0091,0.0091,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.752603+00:00,ml,Organic Search,India,nan,nan
2b742281-ef6f-49ad-8a44-b3a21c60b945,3.14,Frozen,0.0314,0.0314,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.756886+00:00,ml,Organic Search,India,Other Cities of Maharashtra,Operations Management
67bc9f1f-53c0-49be-96f9-1d549f0a8717,2.53,Frozen,0.0253,0.0253,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.761387+00:00,ml,Google,India,Mumbai,Human Resource Management
46c2bad4-ea26-4507-9378-c488e0c1dd11,0.72,Frozen,0.0072,0.0072,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.766045+00:00,ml,Reference,India,Select,Business Administration
25b8e642-c1f1-4e49-8557-71d2c78adada,1.78,Frozen,0.0178,0.0178,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.770256+00:00,ml,Direct Traffic,India,Select,Select
1de92462-5b3f-401e-b84f-935bb92898f9,52.46,Warm,0.5246,0.5246,Follow up within 48 hours — strong engagement signals.,2026-07-19T08:08:24.774607+00:00,ml,Google,India,Thane & Outskirts,Select
cb28ce2a-61b5-4a41-aa99-b593c7d2ed81,1.14,Frozen,0.0114,0.0114,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.779117+00:00,ml,Google,India,Mumbai,Hospitality Management
bb74420f-81a3-40de-8d5c-fa5899b7daba,2.72,Frozen,0.0272,0.0272,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.783600+00:00,ml,Organic Search,India,nan,nan
eecf3981-028f-4a83-9801-afa36545a53c,3.5,Frozen,0.035,0.035,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.788072+00:00,ml,Google,India,Select,Select
cad6cccb-88a4-49bf-b4a0-9ec37e8a176c,4.27,Frozen,0.0427,0.0427,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.792623+00:00,ml,Referral Sites,India,Select,Select
5f3d729d-de5a-4056-843e-42d23c973b65,2.61,Frozen,0.0261,0.0261,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.796896+00:00,ml,Organic Search,India,Select,Select
1eb0358a-62e8-4fcb-bd7a-1d8189ebfa21,2.85,Frozen,0.0285,0.0285,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.801933+00:00,ml,Google,India,Mumbai,Finance Management
d78841e2-ac17-4986-aaab-ad2796c2a4e6,5.04,Frozen,0.0504,0.0504,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.806524+00:00,ml,Organic Search,India,Select,Select
1b1e6ec3-1f21-41e0-a3e9-3ee3aa2b6415,2.39,Frozen,0.0239,0.0239,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.811097+00:00,ml,Google,India,nan,nan
80182a5a-1a04-49db-acc7-0a3bbea6b88b,2.53,Frozen,0.0253,0.0253,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.815792+00:00,ml,Google,India,Mumbai,Finance Management
46921843-bfc8-443d-96f8-18495891aef6,2.53,Frozen,0.0253,0.0253,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.820061+00:00,ml,Referral Sites,India,nan,nan
b2c0f21b-97b3-4d4e-ad9c-9af95f2654f3,2.37,Frozen,0.0237,0.0237,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.824306+00:00,ml,Direct Traffic,India,Mumbai,Finance Management
c311a2fd-e180-411d-8eb6-b80f6a8c7c05,1.84,Frozen,0.0184,0.0184,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.828802+00:00,ml,Organic Search,India,Mumbai,Supply Chain Management
be27249b-9677-4397-8158-f795d95fbfd8,0.96,Frozen,0.0096,0.0096,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.833298+00:00,ml,Google,India,Mumbai,International Business
2b25a3e9-72a7-43e5-8c54-7e8405cc0ed3,2.39,Frozen,0.0239,0.0239,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.837637+00:00,ml,Google,India,Select,Select
68171565-0979-44e9-ac27-992bcca38aa8,2.11,Frozen,0.0211,0.0211,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.842051+00:00,ml,Reference,India,Select,Marketing Management
adc01aa8-ee1b-4fc2-9cc7-bf29117241b0,2.75,Frozen,0.0275,0.0275,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.846415+00:00,ml,Google,India,Select,Select
01502bf8-d062-4a90-9119-15597dc4a950,1.05,Frozen,0.0105,0.0105,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.850809+00:00,ml,Google,India,Select,Select
73413bd6-e089-4b8f-9359-ad5825101790,33.07,Cold,0.3307,0.3307,Add to nurture campaign — monitor for re-engagement.,2026-07-19T08:08:24.855683+00:00,ml,Google,India,Mumbai,Finance Management
42976847-bdd7-4472-8c0a-5d4489fd20fb,2.33,Frozen,0.0233,0.0233,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.860365+00:00,ml,Direct Traffic,India,Other Cities,Supply Chain Management
